Artist,Count
000 HOURS (WITH JUSTIN BIEBER)",1
5 SECONDS OF SUMMER,1
ALI GATIE,1
ANT SAUNDERS,1
ANUEL AA,1
ARCANGEL,1
ARIANA GRANDE,1
ARIZONA ZERVAS,2
AVA MAX,1
BAD BUNNY,2
BENNY BLANCO,1
BILLIE EILISH,6
BLACK THOUGHT,1
BLACKBEAR,2
BROCKHAMPTON,1
BTS,2
CAMILA CABELLO,2
CAMILO,1
CHRIS BROWN,1
CONAN GRAY,1
DABABY,4
DADDY YANKEE,2
DALEX,3
DEAN LEWIS,1
DIMELO FLOW,1
DJ SNAKE,1
DOJA CAT,1
DOMINIC FIKE,1
DON TOLIVER,1
DRAKE,1
DUA LIPA,1
ED SHEERAN,5
ELLIE GOULDING,1
EMINEM,16
FUTURE,1
GAMBI,1
HALSEY,4
HARRY STYLES,4
HENRIQUE & JULIANO,1
IMAGINE DRAGONS,1
J BALVIN,4
J. COLE,1
JACKBOYS,1
JAMES ARTHUR,1
JHAY CORTEZ,1
JONAS BROTHERS,3
JP SAXE,1
JUICE WRLD,3
JUJU,1
JUSTIN BIEBER,1
KAROL G,1
KHALID,1
KINA,2
KYGO,1
LADY GAGA,1
LAUV,2
LEWIS CAPALDI,3
LIL BABY,2
LIL NAS X,1
LIL TECCA,1
LIL UZI VERT,1
LIZZO,2
LUNAY,2
MAC MILLER,12
MAES,1
MAROON 5,2
MARSHMELLO,1
MATTHEW WILDER,1
MEDUZA,2
MUSTARD,1
NEXT",1
NICKY JAM,2
NOAH CYRUS,1
OLIVIA RODRIGO,1
PANIC! AT THE DISCO,1
PISO 21,1
POST MALONE,6
PT. II",1
QUEEN,1
RAUW ALEJANDRO,1
RED VELVET,1
REGARD,1
REIK,1
RICH MUSIC LTD,2
RITON,1
RODDY RICCH,2
ROSALÃ?A,1
ROYCE DA 5'9"" & JOELL ORTIZ)",1
SAINT JHN,1
SAM SMITH,2
SECH,2
SELENA GOMEZ,3
SHAED,1
SHAKIRA,1
SHAWN MENDES,2
STORMZY,1
SURFACES,1
TAINY,1
THE BLACK EYED PEAS,1
THE WEEKND,2
THIAGUINHO MT,1
TONES AND I,2
TRAVIS SCOTT,4
TREVOR DANIEL,1
TU X MI",1
TYGA,1
UFO361,1
XXXTENTACION,3
Y2K,1
YNW MELLY,2
YOUNG THUG,1
